categorie,id_cat_parent,id_categorie,lien_categorie,type
Visseuse,category-5021,category-1546,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/visseuse,PAGE_LIST
Perceuse à percussion,category-5021,category-1547,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/perceuse-a-percussion,PAGE_LIST
Boulonneuse,category-5021,category-1549,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/boulonneuse,PAGE_LIST
Visseuse à chocs,category-5021,category-5307,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/visseuse-a-chocs,PAGE_LIST
Perceuse-Visseuse filaire,category-5021,category-5310,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/perceuse-visseuse-filaire,PAGE_LIST
Ponceuse à bande,category-5021,category-1552,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/ponceuse-a-bande,PAGE_LIST
Scie circulaire,category-5021,category-1557,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/scie-circulaire,PAGE_LIST
Scie sauteuse,category-5021,category-1556,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/scie-sauteuse,PAGE_LIST
Ponceuse multifonction,category-5021,category-1555,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/ponceuse-multifonction,PAGE_LIST
Ponceuse vibrante,category-5021,category-1554,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/ponceuse-vibrante,PAGE_LIST
Ponceuse delta,category-5021,category-1553,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/ponceuse-delta,PAGE_LIST
Ponceuse excentrique,category-5021,category-1551,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/ponceuse-excentrique,PAGE_LIST
Scie égoïne-Sabre,category-5021,category-1558,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/scie-egoine-sabre,PAGE_LIST
Meuleuse,category-5021,category-1550,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie/meuleuse,PAGE_LIST
Accessoires de soudure,category-5021,category-1562,https://www.centrale-brico.com/electroportatif/soudure/accessoires-de-soudure,PAGE_LIST
Fer à souder,category-5021,category-1559,https://www.centrale-brico.com/electroportatif/soudure/fer-a-souder,PAGE_LIST
Poste à souder,category-5021,category-1560,https://www.centrale-brico.com/electroportatif/soudure/poste-a-souder,PAGE_LIST
Soudure flamme-Brasage,category-5021,category-1561,https://www.centrale-brico.com/electroportatif/soudure/soudure-flamme-brasage,PAGE_LIST
Machine multifonction,category-5026,category-1566,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/machine-multifonction,PAGE_LIST
Rabot,category-5026,category-1563,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rabot,PAGE_LIST
Défonceuse,category-5026,category-1564,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/defonceuse,PAGE_LIST
Mélangeur-Turbine,category-5026,category-1565,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/melangeur-turbine,PAGE_LIST
Pistolet à peinture,category-5026,category-1567,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/pistolet-a-peinture,PAGE_LIST
Découpeur,category-5026,category-1568,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decoupeur,PAGE_LIST
Décapeur,category-5026,category-1569,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decapeur,PAGE_LIST
Décolleuse,category-5026,category-1570,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decolleuse,PAGE_LIST
Aspirateur,category-5026,category-1571,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/aspirateur,PAGE_LIST
Spatule,category-5026,category-1572,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/spatule,PAGE_LIST
Fraise à lamelle,category-5026,category-1573,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/fraise-a-lamelle,PAGE_LIST
Rainureuse,category-5026,category-1574,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rainureuse,PAGE_LIST
Chargeur-Batterie,category-5026,category-1575,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/chargeur-batterie,PAGE_LIST
Accessoires compresseur,category-5026,category-1584,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/accessoires-compresseur,PAGE_LIST
Machine à bois,category-5026,category-1703,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/machine-a-bois,PAGE_LIST
Coupe carrelage,category-5026,category-1576,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/coupe-carrelage,PAGE_LIST
Tour-Touret- Rabot,category-5026,category-1577,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/tour-touret--rabot,PAGE_LIST
Perceuse à colonne,category-5026,category-1578,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/perceuse-a-colonne,PAGE_LIST
Groupe d'aspiration,category-5026,category-1579,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/groupe-d-aspiration,PAGE_LIST
Scie stationnaire,category-5026,category-1580,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/scie-stationnaire,PAGE_LIST
Ponceuse-Fraiseuse,category-5026,category-1581,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/ponceuse-fraiseuse,PAGE_LIST
Groupe électrogène,category-5026,category-203,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/groupe-electrogene,PAGE_LIST
Compresseur,category-5026,category-1583,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/compresseur,PAGE_LIST
Bétonnière,category-5026,category-5304,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/betonniere,PAGE_LIST
Outillage à main de précision,category-5026,category-1590,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/outillage-a-main-de-precision,PAGE_LIST
Tréfilerie,category-5026,category-1592,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/trefilerie,PAGE_LIST
Machine et accessoires,category-5026,category-1585,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/machine-et-accessoires,PAGE_LIST
Gravure-Pyrogravure,category-5026,category-1586,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/gravure-pyrogravure,PAGE_LIST
Soudure,category-5026,category-1587,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/soudure,PAGE_LIST
Aérographie,category-5026,category-1588,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/aerographie,PAGE_LIST
Outils pour perceuse,category-5026,category-1589,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/outils-pour-perceuse,PAGE_LIST
Balsa-Contreplaqué,category-5026,category-1591,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/balsa-contreplaque,PAGE_LIST
Perforateur,category-5026,category-1548,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/perforateur,PAGE_LIST
Perceuse-Visseuse sans fil,category-5026,category-1544,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/perceuse-visseuse-sans-fil,PAGE_LIST
Visseuse,category-5026,category-1546,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/visseuse,PAGE_LIST
Perceuse à percussion,category-5026,category-1547,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/perceuse-a-percussion,PAGE_LIST
